Country,Year,GDP growth (annual %),Labor force,Gross capital formation (% of GDP),Industry (% of GDP),Industry (% of employment),Manufacturing (% of GDP),Manufacturing (% of employment),Services (% of GDP),Services (% of employment),Agriculture (% of GDP),Agriculture (% of employment),Trade (% of GDP),Broad money (% of GDP),Political stability
"Congo, Dem. Rep.",2005,6.135151155489723,22085661.0,11.77990023042064,31.792210494941415,8.212112,16.40353329282821,3.6598245170864208,43.404863965404274,19.917408564975563,21.57938224694073,71.87047392317938,52.3146046950079,4.530350610272528,-2.12856149673462
"Congo, Dem. Rep.",2006,5.320979565489978,22533506.0,14.646341149819534,29.734536145784592,7.977746,15.472596613507225,3.9214193996320805,44.515349823373704,21.093704530044523,21.210060648818708,70.92854906575533,47.963259623037374,5.941400067390502,-2.24673223495483
"Congo, Dem. Rep.",2007,6.259477764373969,22982377.0,13.708284218837912,30.2069711450062,7.901708,17.00603069253631,4.221503804098224,43.56057550504613,22.29101424542582,21.602205301421428,69.80726697409081,80.14205505280874,7.000762027235828,-2.1784999370575
"Congo, Dem. Rep.",2008,6.225894268691931,23412171.0,10.857103236691755,33.22345539596906,7.990541,14.917031951977053,4.508044154077107,38.726705251685175,23.201075819195697,22.618679764601506,68.80837772144463,83.7722916477706,8.482530699928676,-2.00307631492615
"Congo, Dem. Rep.",2009,2.8550640101148446,23828069.0,14.563435399552564,33.01591566120942,7.843554,18.875681978083755,4.8818465615616935,38.35326827782006,24.171101399862955,23.67466669588874,67.98534337002843,62.946879364740546,9.711507022546666,-2.00098276138306
"Congo, Dem. Rep.",2010,7.107976575813922,24281009.0,28.781348937396594,38.68914996354506,8.145866,16.221648548958086,5.194197073530069,35.377421811581264,25.621591024844587,21.428491122437176,66.23254648057359,90.74761029527677,10.116303567964072,-2.19674205780029
"Congo, Dem. Rep.",2011,6.874670890016304,24782462.0,24.89210592227944,40.94273751884117,8.316165,15.358892497286345,5.5341396452028295,33.11420829313765,27.23159210736758,20.91707601311392,64.45222889805613,85.19814419457647,10.106520769395322,-2.21298933029175
"Congo, Dem. Rep.",2012,7.0868989467194154,25253938.0,14.32823127781902,40.25475637856694,8.455621,15.361348680925865,5.894605629941846,33.18206259668038,28.902776098675805,20.44106070560802,62.641606339227685,68.35171139795547,10.749961140778659,-2.08589291572571
"Congo, Dem. Rep.",2013,8.481956636087546,26115207.0,21.842423441079077,41.28634596346761,8.792601,15.38523318839815,5.995717722406795,32.33237872508912,30.03741000527248,19.316667627013,61.169984166523506,77.46594514586263,11.449222483633479,-2.19219064712524
"Congo, Dem. Rep.",2014,9.470288097140838,27011671.0,23.223474339245474,42.97984785667231,9.147408,15.554413473691714,6.0591393931236395,31.701462471641413,31.187575559660186,18.562517313629822,59.665020825533524,78.69015012619462,11.874049622147554,-2.16792130470276
